DATE,pond,Depth,Temp_C,DO_Percent,DO_mgL,Conductivity
2021-06-10,DOBA8,1.75,18.5,4.7,0.44,265.3
2021-06-17,DOBA8,0,25.3,70,5.74,11.9
2021-06-17,DOBA8,0.25,25.3,69.1,5.68,275.9
2021-06-17,DOBA8,0.5,25.2,68.1,5.61,276.3
2021-06-17,DOBA8,0.75,25,66.8,5.52,275.9
2021-06-17,DOBA8,1,24.9,60.2,4.99,275.4
2021-06-17,DOBA8,1.25,24.8,64,5.3,275.1
2021-06-17,DOBA8,1.5,24.5,40.1,3.34,275
2021-06-17,DOBA8,1.75,23.2,2.5,0.22,282
2021-06-30,DOBA8,0,25.6,102.8,8.42,2.5
2021-06-30,DOBA8,0.25,25.1,95.6,7.88,109
2021-06-30,DOBA8,0.5,24.5,111,9.24,107.6
2021-06-30,DOBA8,0.75,24.3,110,9.24,111
2021-06-30,DOBA8,1,23.7,10,0.84,101.4
2021-06-30,DOBA8,1.25,23.5,2.4,0.2,99.1
2021-06-30,DOBA8,1.5,23.1,1.3,0.11,104.7
2021-06-30,DOBA8,1.75,22.3,1,0.09,120
2021-06-30,DOBA8,2,20.8,0.8,0.07,161.8
2021-07-08,DOBA8,0,24.4,18.4,1.54,1.7
2021-07-08,DOBA8,0.25,24.5,17.5,1.46,103.5
2021-07-08,DOBA8,0.5,24.5,15.8,1.32,103.6
2021-07-08,DOBA8,0.75,24.5,12.5,1.04,103.5
2021-07-08,DOBA8,1,24.5,8.1,0.68,103.8
2021-07-08,DOBA8,1.25,24.5,7.8,0.65,103.8
2021-07-08,DOBA8,1.5,24.4,7.3,0.61,103.9
2021-07-08,DOBA8,1.75,24.4,2.2,0.18,104.7
2021-07-08,DOBA8,2,24.2,0.3,0.03,105.6
2021-07-20,DOBA8,0,25.7,69.5,5.67,2.5
2021-07-20,DOBA8,0.25,25.7,69.5,5.68,101.2
2021-07-20,DOBA8,0.5,25.6,65.6,3.35,101.2
2021-07-20,DOBA8,0.75,25.3,48.4,3.99,101.7
2021-07-20,DOBA8,1,25.1,17.5,1.46,103.1
2021-07-20,DOBA8,1.25,24.5,1.7,0.14,103.9
2021-07-20,DOBA8,1.5,23.8,1.1,0.09,104.5
2021-07-20,DOBA8,1.75,22.9,0.9,0.07,108.5
2021-07-20,DOBA8,2,21.2,0.7,0.06,130.4
2021-07-26,DOBA8,0,26.6,80.2,6.4,10.5
2021-07-26,DOBA8,0.25,26.7,78.6,6.3,106.7
2021-07-26,DOBA8,0.5,26.7,78.1,6.25,106.5
2021-07-26,DOBA8,0.75,26.6,73.1,5.87,106.6
2021-07-26,DOBA8,1,26.3,61.8,4.98,106.9
